age,sex,geo,TIME_PERIOD,OBS_VALUE
TOTAL,F,AD,1986,20898.0
TOTAL,F,AD,1987,22148.0
TOTAL,F,AD,1988,22814.0
TOTAL,F,AD,1989,23813.0
TOTAL,F,AD,1990,24171.0
TOTAL,F,AD,1991,25542.0
TOTAL,F,AD,1992,27572.0
TOTAL,F,AD,1993,28864.0
TOTAL,F,AD,1994,30406.0
TOTAL,F,AD,1995,30228.0
TOTAL,F,AD,1996,30200.0
TOTAL,F,AD,1997,30627.0
TOTAL,F,AD,1998,31025.0
TOTAL,F,AD,1999,31384.0
TOTAL,F,AD,2000,31538.0
TOTAL,F,AD,2001,31576.0
TOTAL,F,AD,2002,31915.0
TOTAL,F,AD,2003,32354.0
TOTAL,F,AD,2004,34738.0
TOTAL,F,AD,2005,36790.0
TOTAL,F,AD,2006,37575.0
TOTAL,F,AD,2007,38705.0
TOTAL,F,AD,2008,39622.0
TOTAL,F,AD,2009,40303.0
TOTAL,F,AD,2010,40296.0
TOTAL,F,AD,2011,38252.0
TOTAL,F,AD,2012,38252.0
TOTAL,F,AD,2013,37408.0
TOTAL,F,AD,2019,37388.0
TOTAL,F,AL,2000,1526762.0
TOTAL,F,AL,2001,1535822.0
TOTAL,F,AL,2002,1532563.0
TOTAL,F,AL,2003,1526180.0
TOTAL,F,AL,2004,1520481.0
TOTAL,F,AL,2005,1512745.0
TOTAL,F,AL,2006,1503969.0
TOTAL,F,AL,2007,1492439.0
TOTAL,F,AL,2008,1480358.0
TOTAL,F,AL,2009,1468935.0
TOTAL,F,AL,2010,1459025.0
TOTAL,F,AL,2011,1451691.0
TOTAL,F,AL,2012,1444234.0
TOTAL,F,AL,2013,1437193.0
TOTAL,F,AL,2014,1430827.0
TOTAL,F,AL,2015,1424597.0
TOTAL,F,AL,2016,1417141.0
TOTAL,F,AL,2017,1423050.0
TOTAL,F,AL,2018,1431715.0
TOTAL,F,AL,2019,1432833.0
TOTAL,F,AL,2020,1425342.0
TOTAL,F,AL,2021,1419759.0
TOTAL,F,AL,2022,1406532.0
TOTAL,F,AL,2023,1394864.0
TOTAL,F,AM,2000,1681200.0
TOTAL,F,AM,2001,1672200.0
TOTAL,F,AM,2002,1670500.0
TOTAL,F,AM,2003,1666700.0
TOTAL,F,AM,2004,1665500.0
TOTAL,F,AM,2005,1665200.0
TOTAL,F,AM,2006,1665123.0
TOTAL,F,AM,2007,1665554.0
TOTAL,F,AM,2008,1667529.0
TOTAL,F,AM,2009,1669711.0
TOTAL,F,AM,2010,1673656.0
TOTAL,F,AM,2011,1679066.0
TOTAL,F,AM,2012,1684000.0
TOTAL,F,AM,2015,1571450.0
TOTAL,F,AM,2016,1569535.0
TOTAL,F,AM,2017,1567380.0
TOTAL,F,AM,2018,1564533.0
TOTAL,F,AM,2019,1563538.0
TOTAL,F,AM,2020,1562689.0
TOTAL,F,AM,2021,1565144.0
TOTAL,F,AM,2023,1571757.0
TOTAL,F,AT,1960,3757167.0
TOTAL,F,AT,1961,3773097.0
TOTAL,F,AT,1962,3794130.0
TOTAL,F,AT,1963,3814191.0
TOTAL,F,AT,1964,3836415.0
TOTAL,F,AT,1965,3857760.0
TOTAL,F,AT,1966,3876559.0
TOTAL,F,AT,1967,3899799.0
TOTAL,F,AT,1968,3922359.0
TOTAL,F,AT,1969,3932691.0
TOTAL,F,AT,1970,3944298.0
TOTAL,F,AT,1971,3953827.0
TOTAL,F,AT,1972,3972070.0
TOTAL,F,AT,1973,3990665.0
TOTAL,F,AT,1974,4006377.0
TOTAL,F,AT,1975,4003303.0
TOTAL,F,AT,1976,3992886.0
TOTAL,F,AT,1977,3992437.0
TOTAL,F,AT,1978,3994255.0
TOTAL,F,AT,1979,3985363.0
TOTAL,F,AT,1980,3981359.0
TOTAL,F,AT,1981,3983154.0
TOTAL,F,AT,1982,3993808.0
TOTAL,F,AT,1983,3981596.0
TOTAL,F,AT,1984,3976213.0
TOTAL,F,AT,1985,3975117.0
